Heading,Publisher,Date,Body
"A NOBODY DIES - The Nehru-Gandhis apart, national heroes' kin are anonymous", By Ashok Mitra ,  19/12/2011 ," A formidable group of eminent scholars, extremely jealous of their liberal credentials, has emerged in the country. They take a charitable view of most men and matters. Their liberalism, however, gets frayed at the ends at the mention of Lefties, whom they consider to be a thoroughgoing useless lot. Since the Bengali academics they have met have happened to be of Left persuasion, they began taking a dim view of Bengal’s scholastic tradition, which was soon transformed into a generic Bengali baiting. Their close friends with Bengali surnames were spared, otherwise poking fun at every aspect of Bengali existence became a grand pastime. The Bengalis, in the reckoning of these eminences, are an embarrassing cargo the Indian nation has to carry. In support of their point of view, these eminences will cite the authority of the only great personality Bengal has accidentally produced, Nirad C. Chaudhuri. It should have been a bit of an inconvenience that while Chaudhuri enjoyed running down his fellow Bengalis, he was actually even more derisive of India and Indians. That however has not dampened the Bengaliphobes.For sure, these sage people have a case. Bengalis are often full of idiosyncrasies and angularities. They can be argumentative, cantankerous, clannish, verbose in their narratives with a tendency to make a mountain out of a molehill. They are, besides, most of the time over-emotional and waste an unconscionable length of time writing and hawking poetry. They have, in addition, developed the habit of idle pontification for hours on end in tea or coffee shop sessions. The typical Calcutta intellectual, who proudly announces that the title of the latest work by that what-is-his-name Latvian writer under the imprint of Gallimard is The percussion of supersonic and is greatly miffed when another friend in the adda claims to have already known about it, is particularly insufferable. Still, the poor Bengalis, it will have to be conceded, have at least one thing in their favour: they have stayed away from the bane of dynastic succession which threatens to overrun the rest of the country. ‘Follow the leader blindly’ is the nation’s motto. What the oldest political party, the Indian National Congress, thinks or does at once becomes an integral part of national political culture. If a member of the Congress falls foul of the party leadership, he or she is expelled for a period of six years. The rest of the parties in the country — barring the pestilent Left — which do not really belong — reverentially adopt the Congress norm: be it the Bharatiya Janata Party or the Muslim League, if an errant member is to be disciplined, he or she is chucked out for half-a-dozen years. Nobody ever questions why the duration of banishment has to be six years, not four or five or seven. Cheeky questions go ill with India’s heritage.The dynasty set up by Indira Gandhi — some will count it from Jawaharlal Nehru or even from his father, Motilal Nehru — is now generally accepted as part of the natural order. Is not India a democracy and a republic? So what: in the five millennia this nation has travelled through history, it has always felt comfortable under the protection of emperors and kings, Indians have the genius for adaptability, they can coalesce their concept of a republic with an ardour for royalty. Indian democracy will march from strength to strength even as its stewardship continues to rest with a Nehru-Gandhi for ever and ever; when the tenure of one N-G comes to a surcease, another N-G will take over. The norm set up at the Centre by the country’s leading party is followed by copycats in the states. Especially in this matter, Kashmir is, without any question, an inalienable part of India: from Sheikh Abdullah it has to be Farooq and on to Omar. In Punjab, it is from Papa Badal to Baba Badal; in Tamil Nadu, from M.K. Karunanidhi to M.K. Stalin; in Odisha from father Biju to son Naveen; in Bihar, from husband Yadav to housewife Yadav. Why waste space by adding further instances from other parts of the country?Strangely enough, Bengal has escaped the grasp of the epidemic. Consider the address 38/2 Elgin Road in south-central Calcutta. It was the residence of Subhas Chandra Bose. Almost diagonally across is the house his elder brother, Sarat Chandra Bose, built — the postal address is 1 Woodburn Park. These two addresses are witness to many historic meetings, parlays and confabulations during the nation’s struggle for freedom just as Anand Bhavan and Swaraj Bhavan in Allahabad have been. The sacrifices undergone by the Bose family in the cause of the country are no less — one dares say, perhaps more — than that of the Nehrus of Allahabad. The Nehru descendants have garnered the juicier fruits the tree of independence has been, and is, yielding. Even the great-great grandchild of Motilal Nehru is entitled to Z plus category security cover. The trajectory has been different for the Boses. They are nobodies. Now and then a scion of the family might have sought to get elected to the state assembly or Parliament. He or she has sometimes failed, sometimes succeeded. But these have been individual enterprises, the family has not at all come into the picture. Recently, a person with a professional background has been named a minister in a state administration; very few know — and fewer care — that he is a grandson of the Bose family; the Boses can here claim to be on par with the descendants of Mahatma Gandhi. A Gandhi grandson, Rajmohan, was in the Lok Sabha for a very brief spell; he got elected on the anti-Emergency wave, and not because he is a Gandhi. He soon withdrew to the tranquillity of university libraries. No other Gandhi has cared to walk the political catwalk, flaunting his or her pedigree. The Boses have behaved in a similar manner; they are now commoners, indistinguishable from the rest of the crowd. A nice quiet gentleman, yet to turn into the early eighties, died a fortnight ago in Delhi where he had lived on and off since the early 1950s. He, Pradip Bose, was a nephew of Subhas Chandra Bose. Nobody knew about it. He believed in his anonymity. Not that he was not interested in politics. Quite the contrary; politics was his obsession, but not any political activity which targets the capture of power. Pradip Bose’s focus was on the study of political ideology, particularly the ideology of the Left. He was a pure seeker of knowledge, keen to learn about the nuances of ideological postulates that influence the praxis of different parties professing to be on the Left. A convinced socialist, he had his own specific political philosophy. This he tucked within himself when calling on leaders and functionaries of various political formations, each claiming Marxist parentage. He was polite, soft-spoken, the gentlest of the gentle in framing his questions. When he would say thanks and withdraw, he would leave behind the image of a humble wanderer eager to cross fresh frontiers only for the purpose of gaining further insight, to know what lies on the other side, that is all, he does not want to intrude. While without any connections with any academic institution, Pradip nonetheless was scholar extraordinary. His stock of knowledge concerning political parties and political ideologies kept piling into a majestic mass. But he never flaunted it, just as he never dreamt of flaunting his pedigree. He developed a link with the Socialist International, spent years in Europe, Vienna, London and elsewhere, continuing his quest for distilled knowledge. He returned to Delhi, settled in, kept calling on famous and not so famous personages, always a modest smile lighting his lips and eyes, full of humility, but full of dignity too. The last occasion Pradip was in Calcutta, he was espied travelling from Jadavpur in the southern fringe of the city toward midtown in a jampacked ramshackle state transport corporation bus. A thought flashed across the mind of the acquaintance who spotted him. If only Pradip’s surname was not Bose, but Nehru-Gandhi, the special protection group would have cleared the bus of all other passengers; he would have travelled in lonely imperial splendour with crack Cobra sharpshooters hemming him in; the rest of the traffic would have been ordered to come to a dead halt. Pradip Bose died as he lived, quietly, apologetically, he had no intention of disturbing the agenda of others. And he died a nobody, he did not quite remember he was a nephew of Subhas Chandra Bose."
Battling bottle for 25 years, By Staff Reporter ,  7/08/2008 ,"Excessive drinking had almost ruined Dhruv (name changed) when he finally found the strength to set aside the bottle, thanks to a support group called the Alcoholics Anonymous (AA).Alcoholism — identified as a disease by the World Health Organisation — was once considered almost incurable. But it is much easier to kick the habit now with help from the AA programme, whose Calcutta chapter turns 25 this month.The programme started in the city in 1983 to help problem drinkers and currently has over 15 groups spanning Dum Dum to Behala. AA Calcutta has more than 400 active members from all walks of life, between the ages of 20 and 70 years.“As we expanded our activities in the city, doctors began referring patients to us. People also started looking up AA on the Internet and coming to our office on Nandan Street,” said a Calcutta AA spokesperson.The AA holds meetings across the city every evening at 7pm, “for the recovering alcoholics by the recovering alcoholics”. There is no membership fee. The programme relies on shared experiences and strengths of members and on the suggested 12 steps for recovery from alcoholism.“Alcoholism is like diabetes. Just like a diabetic can lead a fulfilling life by staying away from sugar, alcoholics can lead a normal life by foregoing one drink a day at a time,” the spokesperson said.Calcutta AA also holds meetings with the Border Security Force in West Bengal and the northeastern states, as well as with railway officials and police, to raise awareness about alcoholism and the AA.To celebrate its 25th year, Calcutta AA is organising a programme on September 27 and 28. “It will be attended by AA members from all over India and will help create greater awareness about AA,” said the spokesperson."
Help for women in recovery for sobriety, By Andrew W. Lyngdoh in Shilong  ,  9/02/2016 ,"Shillong, Feb. 8: A public information programme on ""women in recovery for sobriety"" will be held here next week where women who are recovering from alcoholism will share their stories with those in need of sobriety.The programme will be organised by the Shillong Chapter of the Alcoholics Anonymous (AA) along with Kripa Foundation, Shillong. It will deliberate on ""Women in Recovery for Sobriety: A Challenge in Northeast India"" at Don Bosco Youth Centre, Laitumkhrah.Speaking to The Telegraph, Sister Rose Paite, convener of the programme, said while men who desire to recover from alcoholism have better access to support systems, the same is not with women.""In the Northeast, there is a lot of stigma and discrimination attached with women who want to recover from alcoholism. They have no access to support systems unlike men,"" Sister Paite, who is also a trustee member of the general service board of AA India, said.At the same time, she pointed out that while there are several women in metropolitan cities and bigger towns in the rest of the country who are recovering from alcoholism because of the access they have to support systems, the same is absent in the Northeast.""Of course, they get treated in hospitals whenever they fall ill. But the accessibility to support systems to help them recover is lacking,"" Sister Paite said.While no study has been carried out to gauge the prevalence of women who are addicted to alcohol, she said alcoholism is generally not seen as a ""problem"" unlike drug addiction.In the past, various studies have been done across the board on the prevalence of drug addiction at different levels.""Although there is no data on the prevalence of alcoholism, the problem is huge. A study is required to have a thorough understanding of the issue,"" she said.She said the three-day public information programme would see participants from other states of the country where they would share their stories and ideas to help those who are craving to recover.Participants at Alcoholics Anonymous programmes follow 12 steps where constant interactions between those who wish to recover and those who have recovered take place."
Cops hit dead end on courier trail - Probe into parcel bomb focuses on repeated anonymous calls to victim, By OUR BUREAU ,  28/09/2012 ,"The person who delivered the parcel bomb that killed crime reporter and rights activist Chaitali Santra had most likely faked his identity as a courier company employee and made her sign an acknowledgement to look convincing, say investigators.A police scan of all courier franchisees in Howrah the day after Chaitali’s death revealed that none of them had any record of a consignment being delivered at 47/2 Dakshin Baksara, Lalkuthi, on Wednesday afternoon. “The person who delivered the bomb had apparently made Chaitali Santra sign an acknowledgement, as is the norm in the courier business. The victim had little reason to suspect he was not what he appeared to be,” an officer said.Chaitali, 40, was killed in the blast that occurred the moment she had unwrapped the parcel. Husband Himangshu, 48, suffered 80 per cent burns.The couple’s daughter Shatabdi, 18, was at a private tuition when the tragedy occurred. The teenager, who had a heart surgery as a child, put up a brave face in front of investigators who questioned her for several hours.“I have handed over each of my mother’s diaries to the police. She had been facing threats, but who could have thought that death would come this way?” said the student of journalism and mass communication at Asutosh College.With her father in hospital, neighbour Shanti Gharui has been Shatabdi’s support since the blast that tore her world asunder. “I have not been able to enter our house except once right after being informed about the incident. All my belongings are there, two nightdresses are all that I have with me,” she said.Madhumita Manna, the family’s domestic help for a decade, said she remembered only two occasions when parcels were delivered at the two-storey house. “Apart from telephone and electricity bills, we received parcels twice as far as I can remember. Bubai (Shatabdi’s pet name) had ordered something (a pen drive each from online shopping portal Flipkart) twice. The company called before delivering the packets on both occasions,” she said.Madhumita was on the first floor of the house when the blast occurred. “Dada-Boudi had just retired to their room after lunch. I hadn’t eaten…. I was waiting for Bubai to return from class. I was upstairs washing clothes when I heard the bell ring,” Madhumita recalled. “I asked ‘ke (who is it)?’. Boudi answered from the ground floor that there was a parcel and she was receiving it. I returned to the washroom.”Within minutes, she heard a bang and saw shards of glass fly.A team from the central forensic science laboratory is collecting samples. “The preliminary findings suggest the presence of ammonium nitrate in the explosive that caused the blast,” DGP Naparajit Mukherjee said at Writers’.A police team visited Westbank Hospital to speak to Himangshu but a few minutes of recorded conversation were all they got because of his condition.Chaitali used to be harassed by anonymous callers, her family members have told the police. The family of an engineer who had allegedly had a tiff with Chaitali after she helped his wife register a torture complaint against him has been questioned."
ICICI counters fresh plaint, By Our Special Correspondent in Mumbai  ,  23/06/2018 ,"Mumbai: ICICI Bank on Friday said it had received a complaint from an anonymous whistleblower in March about financial statements of the lender in earlier years.The complaint speaks of alleged irregularities in the conduct of a few accounts, leading to incorrect asset classification, overvaluation of security for corporate loans apart from incorrect accounting of interest income and bad loan recoveries.In a late evening statement to bourses, the private sector lender pointed out that following the complaint, an inquiry was carried out by the head of the internal audit group under the supervision of the audit committee.While the statutory auditors were provided periodic updates and their inputs were factored into the inquiry process, the interim report of the probe was reviewed in detail by the audit committee and statutory auditors, before the finalisation of the accounts for 2017-18.It said the findings of the interim report did not have any material impact on the financial statements for 2017-18.The anonymous complaint cited 31 loan accounts in which it said irregularities in some borrower accounts, resulting in incorrect asset classification was seen.The complaint added that there was incorrect accounting of interest income and NPA recoveries as fees. However, no specific examples were cited.The bank said with regard to the 31 accounts, the loans outstanding were fully classified as non-performing, with provisions made under applicable norms. These accounts were classified as non-performing between 2011-12 and 2016-17, other than two accounts which were classified by December 31, 2017.""Thus, all these loans had been classified as non-performing prior to the bank becoming aware of the complaint,"" the bank said.ICICI Bank, however, admitted that in certain accounts, transactions were observed that may have delayed the classification of the account as non-performing under Indian GAAP in earlier years."
Rehab clinic hope for addicts, By OUR CORRESPONDENT in Jamshedpur  ,  24/12/2007 ,"Jamshedpur, Dec. 23: Birsa Nagar resident Sourav (name changed) was a self-confessed alcoholic. When repeated attempts to stop hitting the bottle proved futile, he turned to Alcoholics Anonymous (AA).That was before 2003. After 2003 the AA unit here has been inactive. However, people like Sourav can now again hope for help from the organisation if they want to stop drinking. Things are looking up with people associated with the organisation turning up for the Friday evening meeting. “It’s good to see that some people (recovering alcoholics) have again begun showing interest in the meetings,” said an old member of AA. “An effort is on to reorganise by making people aware about the benefits of attending these meetings.”AA’s unit in Jamshedpur had not conducted a meeting since 2003. “Absence of committed people has affected the functioning of the AA here. While some people had left the city, others had died,” he said. The last time when those associated with AA had met was during a public information meeting organised at the Mumbai Chapter of AA in 2003. A person associated with AA said the organisation began operation in the city in 1998. The activities of AA and the messages it wants to communicate can be spread by work of mouth or through the police, doctors, media, hospitals and social organisations.“There are several alcoholics, who are not aware that such an organisation exists here,” said a member.But the going is not going to be easy. “Reorganising weekly meetings needs lots of effort and perseverance. One cannot force anybody to attend the meetings. There should be a desire to get rid of the addiction,” he said. AA programmes, according to the organisation’s website, operate by a recovering alcoholic passing along the story of his or her drinking problems, describing the sobriety found in AA, and inviting newcomers to join the informal fellowship. Though reviving AA was a hard task, said the member, they were confident of streamlining the process and getting it going. “We have begun contacting some old-timers. Messages can be spread through word of mouth. We are trying to send messages to as many alcoholics as possible. Perhaps this may do the tricks for us,” he added. AA members are generally identified by their first names, but the members talking to this correspondent requested not to be identified."
Pence denies writing piece, By New York Times News Service in Washington  ,  7/09/2018 ,"Washington: A day after a senior administration official described President Trump as amoral, impetuous, petty and ineffective in an anonymous essay, the denials from the upper echelon of the administration started to roll in.The mystery writer is not Vice-President Mike Pence, a spokesman said Thursday. ""Our office is above such amateur acts,"" the vice-president's spokesman, Jarrod Agen, said in a morning Twitter post, referring to the Op-Ed published on Wednesday in The New York Times.""It is not mine,"" Mike Pompeo, the secretary of state, said.""Patently false,"" said Dan Coats, the national intelligence director, responding to rumours that he or his principal deputy wrote the piece. ""We did not.""The author, whose identity is known to The Times editorial page department but was not shared with the reporters who cover the White House, describes him or herself as one of many senior officials in the Trump administration who are ""working diligently from within to frustrate parts of his agenda and his worst inclinations"".Since the piece was published, there has been a scramble to identify the anonymous official, prompting text analysis and speculation about motive."
"Take a break, or suffer burnout", By The Telegraph Online ,  30/03/2006 ,"New York, March 29 (Reuters): Sam used to sneak into his office before dawn so no one would know how many extra hours he worked. Charles goes on all-night work binges to meet deadlines and Susan can’t say no to volunteer projects, social clubs, bridge games, choral singing, lectures and classes.Each one is a member of Workaholics Anonymous, a 12-step recovery programme for compulsive workers based upon the structure of Alcoholics Anonymous (AA). Each one opted to keep their identity a secret.“It’s been called the addiction that society applauds,” said Mike, a physician and member of the group known as WA.“People brag about it and say, ‘I’m a workaholic,’” he said. “But workaholics burn out and then you’ve lost them or they become very dysfunctional and bitter and cynical in the organisation and corrosive.”Workaholics Anonymous keeps no central count of members, but organisers estimate dozens of weekly meetings are held in the US as well as in Germany, Switzerland, Austria and Britain. The group also sells about 100 books about WA a month via its website, according to organisers.WA’s roots go back to 1983, when a New York corporate financial planner and a school teacher founded a group based on AA but designed to fight compulsive working.WA identifies workaholics as people who often are perfectionists and worriers, derive their self-esteem from work, keep overly busy, neglect their health, postpone vacations and overschedule their lives.Workaholics don’t even have to have a job; they can just be compulsively busy as they seek an adrenaline high, to overcome feelings of inadequacy and low self-esteem and to avoid intimacy, it says.The weekly meeting in New York draws an average of a half dozen people in a city that might be considered a hotbed of workaholism. Such meagre attendance invites the predictable joke that most workaholics are too busy to attend meetings, a quip that organiser Charles has heard a million times.“People think it’s funny,” he said. “It’s amusing until you hear the stories. There have been many people who have come, and work is destroying their lives.”Unlike alcoholics, who can measure recovery by their days of sobriety, workaholics have no quantifiable gauge of their problem, or their recovery.“In my case, my boss was telling me I had to get my work hours down to 40 a week, and I couldn’t do it,” said Sam, a former senior project engineer in California’s Silicon Valley.“I was sneaking into work at 5 am on a Sunday so I could get work done and be out of the place before anyone else showed up,” he said. “I didn’t want people to see how much time I was putting in.“Now I’m more willing to try to do a mediocre job and keep my own mental health and sanity than to do the perfect job on everything I attempt,” he said.Like AA, WA uses a 12-step programme for recovery from addiction. At meetings, members share their experiences and study the organisation’s literature and guidelines.“It really forces you to look inside and say, ‘What’s really going on with me?’” said Charles. “A lot of people don’t want to do that.” "
Extortion letter warns judge of court blast, By Joy Sengupta in Patna  ,  23/08/2015 ,"Patna, Aug. 22: Pradeep Kumar Malik, the district and sessions judge of Buxar, around 150km west of Patna, has received an anonymous extortion letter.The letter that came through a regular government mail to the civil court yesterday, mentioned the name of one Soni Kumari, stating that the judge should ensure that an amount of Rs 10 lakh is delivered to her or else there would be an explosion in the court.Police have started investigations.""The letter has been written very shabbily and the same was forwarded to us today by the court. An FIR into this connection has been lodged at the Model police station and investigations have started. It can very well be a mischief but the police cannot take any chances and security has been beefed up at the residence of the judge as well as the civil court. The letter doesn't have any details of the sender but does have the name and complete address of whom to deliver the money to,"" Sunil Kumar, the sub-divisional police officer of Buxar, told The Telegraph.Sources said the address provided in the letter was verified and found to be true. ""The letter stated that the money had to be given to one Soni Kumari and her address was given. The police went to the same and found it to be true. She is a housewife and has claimed complete ignorance. Though the police too feel that she has got nothing to do with the incident, she and her family members have been questioned in detail. We are not ruling out enmity with another family over property/land. Soni's family had recently been in a quarrel with them over the same issue that they had threatened them of dire consequences within a week's time. It can very well be that the other family, in order to frame them, sent this letter. However, nothing concrete can be said at this moment and the other party will be questioned too. Until now, no one has been arrested,"" another officer said.Last week, threat letters were purportedly sent from the rebel militant group Islamic State (IS) to Munger commissioner Liyan Kunga and deputy inspector-general of police (Munger) S.P. Shukla.The police have claimed that they have identified the so-called mischief mongers involved in the act and arrests would be carried out."
Survival Strategies, By Suhel Seth has an unconventional take on personal problems - and their solutions ,  23/01/2011 ,"I am 21 and in love with a guy who doesn’t care. But I can’t forget him. I even tried to commit suicide. My parents are making me see a psychiatrist. Am I going mad?Name and address withheldYou aren’t going mad. You actually are nuts darling. I’m not surprised that the guy wants to run away from you: even Bigg Boss won’t want you in-house. You make Dolly Bindra look like a virgin. Look love here’s the deal: you’re a stalker; you’re obsessive and you’re a danger to society. You seem to be the kind who’d scare off even the Maoists. So my advice is don’t waste time seeing a shrink. Sanity is no longer something you can boast of so if I were you, I’d find some unsuspecting man and latch onto him. And there are many out there.I am preparing for IIT JEE. My siblings play noisily all day. I need peace and quiet. Help. Name and address withheldTry and get your parents to speak to them; you could also make an impassioned plea and if all else fails hire a local goon and get them beaten up or better still set their bedroom on fire and if you don’t want any of this, then forget all about IIT.HELP AT HANDAlcoholics anonymous  10A, Nandan Road, Near Ganja Park, Calcutta - 25 Ph: 2419 1174 For free help on alcoholism E-mail: aakolkata_ig03@rediffmail.com (2p.m. to 6p.m. Mondays through Saturdays) Al-Anon (for families and friends of alcoholics) Ph : 98309 93132  (2p.m. to 6 p.m. Mondays through Saturdays) www.india.al-anon.alateen.orgNarcotics anonymous (Kolkata area helpline) Ph: 9836223071; www.nakolkata.org Email: info@nakolkata.org Self-help group of recovering addictsHelpAge India 1800-345-1253 Free helpline for the elderly for  social, legal, economical, financial counselling and also access to government schemes and policiesLifeline Foundation Ph: 2463 7401/ 2463 7432 Free helpline for the depressed or suicidal  (10 a.m. to 6 p.m. Monday through Saturdays) Sparsha AE-36, Rabindra Pally, PO: Prafulla Kanan, Calcutta - 01 Ph: 2591 0334, 2591 3852, 6529, 9856 Free tele-counselling and one-on-one counselling on personal relationships and HIV/ AIDS (10 a.m. to 6 p.m. Mondays through Fridays)Pronam 38/1, Beltala Road,Calcutta - 19 Senior Citizen’s Emergency  Co-ordination Control Room Ph: 2419 0740Now you can join the fan page Suhel Seth’s Survival Strategies Column on Facebook and also tweet your comments/questions to him (@suhelseth) on Twitter "
